64, 180, 360
0.002468, 0.002587, 0.003453
0.002618, 0.007853, 0.008079
0.002659, 0.003493, 0.004385
0.002364, 0.005318, 0.005889
0.003009, 0.007853, 0.008780
0.002637, 0.009108, 0.009676
0.002749, 0.005549, 0.006254
0.002874, 0.002814, 0.003973
0.002636, 0.001072, 0.002841
0.002228, 0.000658, 0.002319
0.001974, 0.001901, 0.002607
0.002033, 0.002645, 0.003213
0.002280, 0.002535, 0.003298
0.002484, 0.001768, 0.002988
0.002514, 0.000905, 0.002681
0.002393, 0.000945, 0.002628
0.002161, 0.001852, 0.002913
0.002154, 0.002812, 0.003493
0.002697, 0.004088, 0.004363
0.003982, 0.006359, 0.005973
0.005767, 0.010110, 0.009010
0.008864, 0.016211, 0.014038
0.013527, 0.026148, 0.022296
0.019226, 0.036560, 0.031584
0.027453, 0.048852, 0.042148
0.036027, 0.066877, 0.059208
0.050293, 0.097708, 0.087569
0.070003, 0.145086, 0.130026
0.096910, 0.190632, 0.170789
0.132387, 0.233993, 0.205041
0.168096, 0.274925, 0.235689
0.188248, 0.309306, 0.260122
0.197451, 0.347072, 0.284751
0.199946, 0.364703, 0.294979
0.206898, 0.372420, 0.304741
0.219503, 0.390463, 0.322161
0.244373, 0.422339, 0.346668
0.273148, 0.460276, 0.375650
0.299551, 0.500224, 0.405846
0.315132, 0.520959, 0.422983
0.319506, 0.530867, 0.431884
0.315590, 0.528819, 0.432301
0.310519, 0.512811, 0.421958
0.302199, 0.498658, 0.417342
0.292332, 0.502778, 0.430364
0.282799, 0.534586, 0.469270
0.274590, 0.590537, 0.530001
0.266265, 0.643546, 0.586381
0.254780, 0.680008, 0.628668
0.241169, 0.690843, 0.644387
0.226503, 0.669720, 0.626891
0.210710, 0.611893, 0.573438
0.194122, 0.526808, 0.490606
0.175918, 0.440931, 0.406839
0.158502, 0.357722, 0.324860
0.141866, 0.291922, 0.260807
0.125685, 0.247540, 0.220166
0.108835, 0.214665, 0.192501
0.091891, 0.191339, 0.174250
0.074411, 0.169028, 0.156728
0.062037, 0.154429, 0.145283
0.051204, 0.140037, 0.133238
0.041832, 0.126192, 0.121131
0.033522, 0.111919, 0.108129
